id_delito,generico,subgenerico,articulo,des_articulo
1,CONTRA EL HONOR,CONTRA EL HONOR (Sin especificar delito subgenérico),S/Art,CONTRA EL HONOR
2,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",130,Injuria
3,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",131,Calumnia
4,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",132,Difamación
5,CONTRA EL HONOR,"INJURIA,CALUMNIA Y DIFAMACION",S/Art,"INJURIA, CALUMNIA Y DIFAMACIÓN"
6,CONTRA EL ORDEN ECONOMICO,"ACAPARAMIENTO, ESPECULACION, ADULTERACION",234,Especulación
7,CONTRA EL ORDEN FINANCIERO Y MONETARIO,CONTRA EL ORDEN FINANCIERO Y MONETARIO (Sin especificar delito subgenérico),S/Art,CONTRA EL ORDEN FINANCIERO Y MONETARIO
8,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,254,Tráfico de moneda falsa
9,CONTRA EL ORDEN FINANCIERO Y MONETARIO,DELITOS MONETARIOS,S/Art,DELITOS MONETARIOS
10,CONTRA EL PATRIMONIO,ABIGEATO,189-A,Hurto de ganado
11,CONTRA EL PATRIMONIO,ABIGEATO,189-B,Hurto de uso de ganado
12,CONTRA EL PATRIMONIO,ABIGEATO,189-C,Robo de ganado 
13,CONTRA EL PATRIMONIO,ABIGEATO,S/Art,ABIGEATO
14,CONTRA EL PATRIMONIO,APROPIACION ILICITA,190,Apropiación ilícita común
15,CONTRA EL PATRIMONIO,APROPIACION ILICITA,191,Sustracción de bien propio
16,CONTRA EL PATRIMONIO,APROPIACION ILICITA,192,Apropiación irregular
17,CONTRA EL PATRIMONIO,APROPIACION ILICITA,193,Apropiación de prenda
18,CONTRA EL PATRIMONIO,APROPIACION ILICITA,S/Art,APROPIACIÓN ILÍCITA
19,CONTRA EL PATRIMONIO,CONTRA EL PATRIMONIO (Sin especificar delito subgenérico),S/Art,CONTRA EL PATRIMONIO
20,CONTRA EL PATRIMONIO,DAÑOS,205,Daño simple
21,CONTRA EL PATRIMONIO,DAÑOS,206,Formas agravadas
22,CONTRA EL PATRIMONIO,DAÑOS,206-A,Abandono y actos de crueldad contra animales domésticos y silvestres
23,CONTRA EL PATRIMONIO,DAÑOS,S/Art,DAÑOS
24,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,196,Estafa
25,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,197,Casos de defraudación
26,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,196-A,Estafa agravada
27,CONTRA EL PATRIMONIO,ESTAFA Y OTRAS DEFRAUDACIONES,S/Art,ESTAFA Y OTRAS DEFRAUDACIONES
28,CONTRA EL PATRIMONIO,EXTORSION,200,Extorsión.
29,CONTRA EL PATRIMONIO,EXTORSION,201,Chantaje
30,CONTRA EL PATRIMONIO,EXTORSION,S/Art,EXTORSIÓN
31,CONTRA EL PATRIMONIO,HURTO,185,Hurto simple
32,CONTRA EL PATRIMONIO,HURTO,186,Hurto agravado
33,CONTRA EL PATRIMONIO,HURTO,S/Art,HURTO
34,CONTRA EL PATRIMONIO,RECEPTACION,194,Receptación.
35,CONTRA EL PATRIMONIO,RECEPTACION,195,Formas agravadas
36,CONTRA EL PATRIMONIO,RECEPTACION,S/Art,RECEPTACIÓN
37,CONTRA EL PATRIMONIO,ROBO,188,Robo.
38,CONTRA EL PATRIMONIO,ROBO,189,Robo agravado
39,CONTRA EL PATRIMONIO,ROBO,S/Art,ROBO
40,CONTRA EL PATRIMONIO,USURPACION,202,Usurpación.
41,CONTRA EL PATRIMONIO,USURPACION,203,Desvío ilegal del curso de las aguas
42,CONTRA EL PATRIMONIO,USURPACION,204,Formas agravadas de usurpación
43,CONTRA EL PATRIMONIO,USURPACION,S/Art,USURPACIÓN
44,CONTRA EL PATRIMONIO CULTURAL,CONTRA LOS BIENES CULTURALES,226,Atentados contra monumentos arqueológicos
45,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,376,Abuso de autoridad
46,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,377,"Omisión, rehusamiento o demora de actos funcionales (abuso de autoridad)"
47,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,379,Requerimiento indebido de la fuerza pública (abuso de autoridad)
48,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,381,Nombramiento o aceptación ilegal (abuso de autoridad)
49,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,383,Cobro indebido (concusión)
50,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,384,Colusión simple y agravada (concusión)
51,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,385,Patrocinio ilegal (concusión)
52,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,386,"Responsabilidad de peritos, árbitros y contadores particulares (concusión)"
53,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,387,Peculado doloso y culposo (peculado)
54,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,388,Peculado de uso (peculado)
55,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,389,Malversación (peculado)
56,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,390,Retardo injustificado de pago (peculado)
57,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,391,Rehusamiento a entrega de bienes depositados o puestos en custodia
58,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,393,Cohecho pasivo propio (corrupción de funcionarios)
59,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,394,Cohecho pasivo impropio (corrupción de funcionarios)
60,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,397,Cohecho activo genérico (corrupción de funcionarios)
61,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,399,Negociación incompatible o aprovechamiento indebido de cargo (corrupción de funcionarios)
62,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,400,Tráfico de influencias (corrupción de funcionarios)
63,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,S/Art,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICO
64,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,361,Usurpación de función pública
65,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,362,Ostentación de distintivos de función o cargos que no ejerce
66,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,363,Ejercicio ilegal de profesión
67,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,366,Violencia contra la autoridad para impedir el ejercicio de sus funciones
68,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,367,Formas agravadas (Art. 365 y 366)
69,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368,Resistencia o desobediencia a la autoridad
70,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,369,Violencia contra autoridades elegidas
71,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,371,Negativa a colaborar con la administración de justicia
72,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,372,Atentado contra documentos que sirven de prueba en el proceso
73,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368-A,"Ingreso indebido de equipos o sistema de comunicación, fotografía y/o filmación en centros de detención o reclusión"
74,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368-B,Ingreso indebido de materiales o componentes con fines de elaboración de equipos de comunicación en centros de detención o reclusión
75,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,S/Art,DELITOS COMETIDOS POR PARTICULARES
76,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,402,Denuncia calumniosa
77,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,404,Encubrimiento personal
78,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,405,Encubrimiento real
79,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,407,Omisión de denuncia
80,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,408,Fuga del lugar del accidente de tránsito
81,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,409,Falsedad en juicio
82,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,411,Falsa declaración en procedimiento administrativo
83,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,416,Fraude procesal
84,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,417,Ejercicio arbitrario de derecho. Justicia por propia mano
85,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,423,Negativa al cumplimiento de obligaciones de notario y auxiliares jurisdiccionales
86,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,409-A,Obstrucción de la justicia
87,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,S/Art,DELITOS CONTRA LA ADMINISTRACIÓN DE JUSTICIA
88,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION PUBLICA (Sin especificar delito subgenérico),S/Art,DELITOS CONTRA LA ADMINISTRACIÓN PUBLICA
89,CONTRA LA CONF.Y.LA.BUEN.FE.EN.NEGOCIOS,LIBRAMIENTO Y COBRO INDEBIDO,S/Art,LIBRAMIENTO Y COBRO INDEBIDO
90,CONTRA LA CONF.Y.LA.BUEN.FE.EN.NEGOCIOS,USURA,214,Usura
91,CONTRA LA FAMILIA,ATENTADOS CONTRA LA PATRIA POTESTAD,147,Sustracción de menor
92,CONTRA LA FAMILIA,ATENTADOS CONTRA LA PATRIA POTESTAD,148,Inducción a la fuga de menor
