ubigeo,nombre,tipo_region,cod_departamento,cod_provincia,cod_distrito,poblacion_2018,poblacion_2019,poblacion_2020,poblacion_2021,poblacion_2022,nombre_departamento,nombre_provincia
000000,PERÚ,departamento,000000,000000,000000,31562130.0,32131400.0,32625948.300823726,33035304.0,33396698.0,PERÚ,
010000,AMAZONAS,departamento,010000,010000,010000,419833.0,423863.0,426806.0,428512.0,429483.0,AMAZONAS,
010100,CHACHAPOYAS,provincia,010000,010100,010100,61078.0,62207.0,63188.0,63661.0,64058.0,AMAZONAS,CHACHAPOYAS
010101,CHACHAPOYAS,distrito,010000,010100,010101,36602.0,37870.0,39051.0,39691.0,40274.0,AMAZONAS,CHACHAPOYAS
010102,ASUNCIÓN,distrito,010000,010100,010102,283.0,281.0,278.0,277.0,276.0,AMAZONAS,CHACHAPOYAS
010103,BALSAS,distrito,010000,010100,010103,1222.0,1202.0,1180.0,1169.0,1158.0,AMAZONAS,CHACHAPOYAS
010104,CHETO,distrito,010000,010100,010104,687.0,696.0,702.0,705.0,707.0,AMAZONAS,CHACHAPOYAS
010105,CHILIQUIN,distrito,010000,010100,010105,619.0,604.0,589.0,581.0,575.0,AMAZONAS,CHACHAPOYAS
010106,CHUQUIBAMBA,distrito,010000,010100,010106,1970.0,1955.0,1933.0,1922.0,1910.0,AMAZONAS,CHACHAPOYAS
010107,GRANADA,distrito,010000,010100,010107,523.0,532.0,539.0,541.0,543.0,AMAZONAS,CHACHAPOYAS
010108,HUANCAS,distrito,010000,010100,010108,1334.0,1395.0,1456.0,1481.0,1500.0,AMAZONAS,CHACHAPOYAS
010109,LA JALCA,distrito,010000,010100,010109,4187.0,4080.0,3966.0,3834.0,3697.0,AMAZONAS,CHACHAPOYAS
010110,LEIMEBAMBA,distrito,010000,010100,010110,3862.0,3845.0,3815.0,3799.0,3781.0,AMAZONAS,CHACHAPOYAS
010111,LEVANTO,distrito,010000,010100,010111,830.0,817.0,803.0,796.0,789.0,AMAZONAS,CHACHAPOYAS
010112,MAGDALENA,distrito,010000,010100,010112,913.0,913.0,911.0,910.0,906.0,AMAZONAS,CHACHAPOYAS
010113,MARISCAL CASTILLA,distrito,010000,010100,010113,1474.0,1507.0,1534.0,1561.0,1586.0,AMAZONAS,CHACHAPOYAS
010114,MOLINOPAMPA,distrito,010000,010100,010114,2320.0,2296.0,2266.0,2251.0,2235.0,AMAZONAS,CHACHAPOYAS
010115,MONTEVIDEO,distrito,010000,010100,010115,519.0,503.0,487.0,479.0,472.0,AMAZONAS,CHACHAPOYAS
010116,OLLEROS,distrito,010000,010100,010116,422.0,429.0,435.0,438.0,441.0,AMAZONAS,CHACHAPOYAS
010117,QUINJALCA,distrito,010000,010100,010117,819.0,807.0,792.0,785.0,778.0,AMAZONAS,CHACHAPOYAS
010118,SAN FRANCISCO DE DAGUAS,distrito,010000,010100,010118,321.0,323.0,323.0,325.0,326.0,AMAZONAS,CHACHAPOYAS
010119,SAN ISIDRO DE MAINO,distrito,010000,010100,010119,608.0,599.0,590.0,585.0,581.0,AMAZONAS,CHACHAPOYAS
010120,SOLOCO,distrito,010000,010100,010120,1293.0,1279.0,1261.0,1252.0,1243.0,AMAZONAS,CHACHAPOYAS
010121,SONCHE,distrito,010000,010100,010121,270.0,274.0,277.0,279.0,280.0,AMAZONAS,CHACHAPOYAS
010200,BAGUA,provincia,010000,010200,010200,82816.0,83850.0,84672.0,85375.0,85835.0,AMAZONAS,BAGUA
010201,BAGUA,distrito,010000,010200,010201,29096.0,29540.0,29905.0,30240.0,30479.0,AMAZONAS,BAGUA
010202,ARAMANGO,distrito,010000,010200,010202,10422.0,10300.0,10149.0,10049.0,9919.0,AMAZONAS,BAGUA
010203,COPALLÍN,distrito,010000,010200,010203,4903.0,4787.0,4660.0,4563.0,4452.0,AMAZONAS,BAGUA
010204,EL PARCO,distrito,010000,010200,010204,1294.0,1292.0,1287.0,1281.0,1273.0,AMAZONAS,BAGUA
010205,IMAZA,distrito,010000,010200,010205,30392.0,31300.0,32136.0,32789.0,33338.0,AMAZONAS,BAGUA
010206,LA PECA,distrito,010000,010200,010206,6709.0,6631.0,6535.0,6453.0,6374.0,AMAZONAS,BAGUA
010300,BONGARÁ,provincia,010000,010300,010300,27042.0,26972.0,26830.0,26655.0,26449.0,AMAZONAS,BONGARÁ
010301,JUMBILLA,distrito,010000,010300,010301,1373.0,1354.0,1332.0,1309.0,1283.0,AMAZONAS,BONGARÁ
010302,CHISQUILLA,distrito,010000,010300,010302,323.0,321.0,319.0,317.0,313.0,AMAZONAS,BONGARÁ
010303,CHURUJA,distrito,010000,010300,010303,299.0,301.0,301.0,300.0,298.0,AMAZONAS,BONGARÁ
010304,COROSHA,distrito,010000,010300,010304,810.0,819.0,825.0,831.0,835.0,AMAZONAS,BONGARÁ
010305,CUISPES,distrito,010000,010300,010305,702.0,694.0,684.0,673.0,662.0,AMAZONAS,BONGARÁ
010306,FLORIDA,distrito,010000,010300,010306,6400.0,6409.0,6397.0,6380.0,6353.0,AMAZONAS,BONGARÁ
010307,JAZÁN,distrito,010000,010300,010307,8035.0,7994.0,7931.0,7855.0,7774.0,AMAZONAS,BONGARÁ
010308,RECTA,distrito,010000,010300,010308,220.0,219.0,218.0,215.0,216.0,AMAZONAS,BONGARÁ
010309,SAN CARLOS,distrito,010000,010300,010309,519.0,535.0,551.0,565.0,579.0,AMAZONAS,BONGARÁ
010310,SHIPASBAMBA,distrito,010000,010300,010310,1630.0,1656.0,1678.0,1698.0,1716.0,AMAZONAS,BONGARÁ
010311,VALERA,distrito,010000,010300,010311,898.0,868.0,837.0,806.0,775.0,AMAZONAS,BONGARÁ
